study	accession/id	sample name	azole resistance/sensitive	clinical/environmental	country																																																																																																										
etienne	SRR11785144	AFIS1542	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785145	AFIS1541	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785146	AFIS1433	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785147	AFIS1527	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785148	AFIS1526	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785149	B6687	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785150	B5603	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785151	B11982	Resistant	Environmental	USA																																																																																																										
etienne	SRR11785152	B11978	Resistant	Environmental	USA																																																																																																										
etienne	SRR11785153	B11973	Resistant	Environmental	USA																																																																																																										
etienne	SRR11785154	B11971	Resistant	Environmental	USA																																																																																																										
etienne	SRR11785155	B11969	Resistant	Environmental	USA																																																																																																										
etienne	SRR11785156	B11965	Resistant	Environmental	USA																																																																																																										
etienne	SRR11785157	AFIS1522	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785158	B11959	Resistant	Environmental	USA																																																																																																										
etienne	SRR11785159	B11957	Resistant	Environmental	USA																																																																																																										
etienne	SRR11785160	B11951	Resistant	Environmental	USA																																																																																																										
etienne	SRR11785161	B11943	Resistant	Environmental	USA																																																																																																										
etienne	SRR11785162	B11930	Resistant	Environmental	USA																																																																																																										
etienne	SRR11785163	B11928	Resistant	Environmental	USA																																																																																																										
etienne	SRR11785164	B11927	Resistant	Environmental	USA																																																																																																										
etienne	SRR11785165	AFIS3199	Resistant	Clinical	USA																																																																																																										
etienne	SRR11785166	AFIS3137	Resistant	Clinical	USA																																																																																																										
etienne	SRR11785167	AFIS3129	Resistant	Clinical	USA																																																																																																										
etienne	SRR11785168	AFIS1517	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785169	AFIS3092	Resistant	Clinical	USA																																																																																																										
etienne	SRR11785170	AFIS3068	Resistant	Clinical	USA																																																																																																										
etienne	SRR11785171	AFIS2889	Resistant	Clinical	USA																																																																																																										
etienne	SRR11785172	AFIS2768	Resistant	Clinical	USA																																																																																																										
etienne	SRR11785173	AFIS2714	Resistant	Clinical	USA																																																																																																										
etienne	SRR11785174	AFIS2575	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785175	AFIS2574	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785176	AFIS2567	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785177	AFIS2566	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785178	AFIS2558	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785179	AFIS1516	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785180	AFIS2548	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785181	AFIS2546	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785182	AFIS2512	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785183	AFIS2511	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785184	AFIS2506	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785185	AFIS2503	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785186	AFIS2488	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785187	AFIS2487	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785188	AFIS2413	Resistant	Clinical	USA																																																																																																										
etienne	SRR11785189	AFIS2400	Resistant	Clinical	USA																																																																																																										
etienne	SRR11785190	AFIS1511	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785191	AFIS2394	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785192	AFIS2393	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785193	AFIS2351B	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785194	AFIS2351A	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785195	AFIS2305	Resistant	Clinical	USA																																																																																																										
etienne	SRR11785196	AFIS2297	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785197	AFIS2292	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785198	AFIS2288	Resistant	Clinical	USA																																																																																																										
etienne	SRR11785199	AFIS2277	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785200	AFIS2275	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785201	AFIS1501	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785202	AFIS2247	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785203	AFIS2244	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785204	AFIS2242	Resistant	Clinical	USA																																																																																																										
etienne	SRR11785205	AFIS2241	Resistant	Clinical	USA																																																																																																										
etienne	SRR11785206	AFIS2231	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785207	AFIS2224	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785208	AFIS2219	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785209	AFIS2211	Resistant	Clinical	USA																																																																																																										
etienne	SRR11785210	AFIS2202	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785211	AFIS2194	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785212	AFIS1499	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785213	AFIS2193	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785214	AFIS2190	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785215	AFIS2188	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785216	AFIS2165	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785217	AFIS2164	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785218	AFIS2162	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785219	AFIS2159	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785220	AFIS2157	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785221	AFIS2153	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785222	AFIS2152	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785223	AFIS1493	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785224	AFIS2150	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785225	AFIS2123	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785226	AFIS2122	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785227	AFIS2105	Resistant	Clinical	USA																																																																																																										
etienne	SRR11785228	AFIS2101	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785229	AFIS2099	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785230	AFIS2098	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785231	AFIS2097	Susceptible	Clinical	USA																																																																																																										
etienne	SRR11785232	AFIS2093	Susceptible	Clinical	USA																																																																																																										
etienne	SRR12081224	AFIS2254	Resistant	Clinical	USA																																																																																																										
kang	SRR15010315	eAF792	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010316	eAF790	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010317	eAF777	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010318	eAF776	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010319	eAF773	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010320	eAF770	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010321	eAF043	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010322	eAF768	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010323	eAF756	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010324	eAF749	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010325	eAF744	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010326	eAF743	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010327	eAF740	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010328	eAF735	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010329	eAF647	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010330	eAF645	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010331	eAF625	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010332	eAF039	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010333	eAF624	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010334	eAF623	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010335	eAF621	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010336	eAF620	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010337	eAF610	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010338	eAF609	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010339	eAF591	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010340	eAF589	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010341	eAF587	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010342	eAF586	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010343	eAF022	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010344	eAF584	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010345	eAF560	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010346	eAF554	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010347	eAF549	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010348	eAF544	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010349	eAF537	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010350	eAF514	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010351	eAF513	Resistant	Environmental	USA																																																																																																										
kang	SRR15010352	eAF500	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010353	eAF490	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010354	eAF021	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010355	eAF477	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010356	eAF406	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010357	eAF379	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010358	eAF365	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010359	eAF335	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010360	eAF325	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010361	eAF321	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010362	eAF294	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010363	eAF288	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010364	eAF272	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010365	eAF017	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010366	eAF265	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010367	eAF263	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010368	eAF237	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010369	eAF234	Resistant	Environmental	USA																																																																																																										
kang	SRR15010370	eAF233	Resistant	Environmental	USA																																																																																																										
kang	SRR15010371	eAF227	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010372	eAF223	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010373	eAF222	Resistant	Environmental	USA																																																																																																										
kang	SRR15010374	eAF177	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010375	eAF170	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010376	eAF016	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010377	eAF163	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010378	eAF158	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010379	eAF155	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010380	eAF154	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010381	eAF153	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010382	eAF152	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010383	eAF148	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010384	eAF147	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010385	eAF146	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010386	eAF144	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010387	eAF015	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010388	eAF142	Resistant	Environmental	USA																																																																																																										
kang	SRR15010389	eAF128	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010390	eAF122	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010391	eAF116	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010392	eAF113	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010393	eAF111	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010394	eAF105	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010395	eAF100	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010396	eAF098	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010397	eAF095	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010398	eAF010	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010399	eAF094	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010400	eAF091	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010401	eAF090	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010402	eAF087	Resistant	Environmental	USA																																																																																																										
kang	SRR15010403	eAF081	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010404	eAF077	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010405	eAF076	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010406	eAF072	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010407	eAF067	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010408	eAF061	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010409	eAF006	Susceptible	Environmental	USA																																																																																																										
kang	SRR15010410	eAF001	Susceptible	Environmental	USA																																																																																																										
lofgren_bird	SRR16539748	USGS_26090_7_WA	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539749	USGS_25404_1_HI	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539750	USGS_25297_1_HI	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539751	USGS_26090_5_WA	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539752	USGS_26090_4_WA	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539753	USGS_26090_3_WA	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539754	USGS_26090_2_WA	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539755	USGS_26090_1_WA	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539756	USGS_29436_2_MA	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539757	USGS_29436_1_MA	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539758	USGS_29376_1_WI	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539759	USGS_28913_2_MS	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539760	USGS_28913_1_MS	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539761	USGS_28858_1_WI	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539762	USGS_28834_1_NV	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539763	USGS_28429_3_MN	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539764	USGS_28426_1_NE	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539765	USGS_28267_1_CA	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539766	USGS_26080_6_WA	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539767	USGS_28253_1_SC	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539768	USGS_28113_1_MA	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539769	USGS_27784_1_SC	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539770	USGS_27721_1_KS	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539771	USGS_27717_1_WA	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539772	USGS_27562_1_MD	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539773	USGS_27540_1_ME	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539774	USGS_27539_1_ME	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539775	USGS_27510_1_FL	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539776	USGS_26879_1_WI	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539777	USGS_26080_3_WA	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539778	USGS_26835_1_MI	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539779	USGS_26829_2_WI	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539780	USGS_26829_1_WI	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539781	USGS_26707_2_ND	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539782	USGS_26696_2_WI	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539783	USGS_26696_1_WI	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539784	USGS_26655_4_WI	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539785	USGS_26624_4_OH	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539786	USGS_26624_1_OH	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539787	USGS_26528_1_WI	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539788	USGS_26080_10_WA	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539789	USGS_26516_1_IL	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539790	USGS_26501_1_MN	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539791	USGS_26222_1_NV	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539792	USGS_26218_3_MT	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539793	USGS_26218_2_MT	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539794	USGS_26218_1_MT	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539795	USGS_26201_1_WA	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539796	USGS_26113_1_WA	Susceptible	Other	USA																																																																																																										
lofgren_bird	SRR16539797	USGS_26090_8_WA	Susceptible	Other	USA																																																																																																										
lofgren_pbio	SRR12763082	A_fum_Oryx_1	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR12763084	A_fum_Moose_3_1_2	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR12763085	A_fum_Mg18-1	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR14584221	A_fum_COH_913	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR14584222	A_fum_COH_885	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR14584223	A_fum_COH_880	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR14584224	A_fum_COH_762	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR14584225	A_fum_COH_694	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR14584226	A_fum_COH_400	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR14584227	A_fum_COH_371	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR12763102	A_fum_B8783_CDC-17	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR14584228	A_fum_B7594CDC_27	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR14584229	A_fum_B7586_CDC-30	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR14584230	A_fum_B7518_CDC-26	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR14584232	A_fum_B7444_CDC-7	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR14584233	A_fum_B72911_CDC-15	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR14584234	A_fum_B6894CDC_5	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR14584235	A_fum_B6893_CDC-4	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR14584236	A_fum_B6892_CDC-3	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR12763103	A_fum_B5960CDC_29	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR12763104	A_fum_B5461_CDC-2	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR12763106	A_fum_B5460_CDC-13	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR12763107	A_fum_B5289_CDC-25	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR12763108	A_fum_B5288_CDC-16	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR12763109	A_fum_B5269_CDC-24	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR12763110	A_fum_B5259_CDC-23	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR12763111	A_fum_B5258CDC_22	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR14584237	A_fum_B5257_CDC-28	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR12763112	A_fum_B5224_CDC-21	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR12763113	A_fum_B1821_CDC-8	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR12763114	A_fum_B10540_CDC-20	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR14584238	A_fum_AZTEC_9_222	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR14584239	A_fum_AZTEC_8_224	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR14584240	A_fum_AZTEC_7_225	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR14584241	A_fum_AZTEC_6_232	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR14584244	A_fum_AZTEC_4_250	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR14584245	A_fum_AZTEC_3_226	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR14584246	A_fum_AZTEC_2_251	Unknown	Unknown	USA																																																																																																										
lofgren_pbio	SRR14584247	A_fum_AZTEC_18_233	Unknown	Unknown	USA																																																																																																										
