study	accession/id	sample name	azole resistance/sensitive	clinical/environmental	country																																																																																																										
barber	SRR13579313	AB01_C47_NRZ-2018-529	Resistant	"Clinical; chronic"	Germany																																																																																																										
barber	SRR13579314	AB01_C46_NRZ-2018-396	Susceptible	"Clinical; chronic"	Germany																																																																																																										
barber	SRR13579315	AB01_C45_NRZ-2018-326	Susceptible	"Clinical; invasive, pulmonary"	Germany																																																																																																										
barber	SRR13579316	AB01_C44_NRZ-2017-339	Susceptible	"Clinical; invasive, pulmonary"	Germany																																																																																																										
barber	SRR13579317	AB01_C43_NRZ-2018-313	Resistant	"Clinical; invasive, pulmonary"	Germany																																																																																																										
barber	SRR13579318	AB01_C42_NRZ-2018-307	Susceptible	"Clinical; invasive, pulmonary"	Germany																																																																																																										
barber	SRR13579319	AB01_C41_NRZ-2018-300	Resistant	"Clinical; chronic"	Germany																																																																																																										
barber	SRR13579320	AB01_C40_NRZ-2018-290	Resistant	"Clinical; chronic"	Germany																																																																																																										
barber	SRR13579321	AB01_C3_NRZ-2016-032	Susceptible	"Clinical; chronic"	Germany																																																																																																										
barber	SRR13579322	179-K-1-1L-5	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579323	AB01_C39_NRZ-2018-286	Susceptible	"Clinical; invasive, pulmonary"	Germany																																																																																																										
barber	SRR13579324	AB01_C38_NRZ-2018-281	Susceptible	"Clinical; invasive, pulmonary"	Germany																																																																																																										
barber	SRR13579325	AB01_C37_NRZ-2018-272	Susceptible	"Clinical; invasive, pulmonary"	Germany																																																																																																										
barber	SRR13579326	AB01_C36_NRZ-2018-236	Susceptible	"Clinical; underlying disease unknown"	Germany																																																																																																										
barber	SRR13579327	AB01_C35_NRZ-2018-146	Susceptible	"Clinical; underlying disease unknown"	Germany																																																																																																										
barber	SRR13579328	AB01_C34_NRZ-2018-123	Susceptible	"Clinical; chronic"	Germany																																																																																																										
barber	SRR13579329	AB01_C33_NRZ-2017-101	Susceptible	"Clinical; invasive, pulmonary"	Germany																																																																																																										
barber	SRR13579330	AB01_C32_NRZ-2018-097	Susceptible	"Clinical; chronic"	Germany																																																																																																										
barber	SRR13579331	AB01_C31_NRZ-2018-043	Susceptible	"Clinical; invasive, pulmonary"	Germany																																																																																																										
barber	SRR13579332	AB01_C30_NRZ-2017-546	Susceptible	"Clinical; invasive, pulmonary"	Germany																																																																																																										
barber	SRR13579333	174-K-1-32s-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579334	AB01_C2_NRZ-2015-218	Resistant	"Clinical; underlying disease unknown"	Germany																																																																																																										
barber	SRR13579335	AB01_C29_NRZ-2017-537	Susceptible	"Clinical; underlying disease unknown"	Germany																																																																																																										
barber	SRR13579336	AB01_C28_NRZ-2017-534	Susceptible	"Clinical; chronic"	Germany																																																																																																										
barber	SRR13579337	AB01_C27_NRZ-2017-508	Susceptible	"Clinical; invasive, pulmonary"	Germany																																																																																																										
barber	SRR13579338	AB01_C26_NRZ-2017-434	Resistant	"Clinical; invasive, pulmonary"	Germany																																																																																																										
barber	SRR13579339	AB01_C25_NRZ-2017-381	Resistant	"Clinical; invasive, pulmonary"	Germany																																																																																																										
barber	SRR13579340	AB01_C24_NRZ-2017-362	Resistant	"Clinical; underlying disease unknown"	Germany																																																																																																										
barber	SRR13579341	AB01_C23_NRZ-2017-346	Resistant	"Clinical; invasive, pulmonary"	Germany																																																																																																										
barber	SRR13579342	AB01_C22_NRZ-2017-322	Susceptible	"Clinical; chronic"	Germany																																																																																																										
barber	SRR13579343	AB01_C21_NRZ-2017-283	Susceptible	"Clinical; chronic"	Germany																																																																																																										
barber	SRR13579344	16-D-2-39L-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579345	AB01_C20_NRZ-2017-282	Susceptible	"Clinical; underlying disease unknown"	Germany																																																																																																										
barber	SRR13579346	AB01_C1_NRZ-2014-065	Resistant	"Clinical; invasive, pulmonary"	Germany																																																																																																										
barber	SRR13579347	AB01_C19_NRZ-2017-214	Resistant	"Clinical; invasive, pulmonary"	Germany																																																																																																										
barber	SRR13579348	AB01_C18_NRZ-2017-195	Susceptible	"Clinical; chronic"	Germany																																																																																																										
barber	SRR13579349	AB01_C17_NRZ-2017-134	Susceptible	"Clinical; underlying disease unknown"	Germany																																																																																																										
barber	SRR13579350	AB01_C16_NRZ-2017-115	Susceptible	"Clinical; chronic"	Germany																																																																																																										
barber	SRR13579351	AB01_C15_NRZ-2017-096	Susceptible	"Clinical; invasive, pulmonary"	Germany																																																																																																										
barber	SRR13579352	AB01_C14_NRZ-2017-076	Resistant	"Clinical; invasive, pulmonary"	Germany																																																																																																										
barber	SRR13579353	AB01_C13_NRZ-2017-069	Susceptible	"Clinical; underlying disease unknown"	Germany																																																																																																										
barber	SRR13579354	663-G-2-3-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579355	658-G-2-5-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579356	656-G-2-14-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579357	653-G-2-1-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579358	652-G-2-6-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579359	64-C-1-90L-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579360	649-G-2-22-4	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579361	625-H-1-26-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579362	5-C-1-24L-3	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579363	599-F-1-14-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579364	153-A-2-48s-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579365	592-I-1-49-3	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579366	588-I-1-48-3	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579367	570-H-1-23-3	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579368	569-H-1-10-6	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579369	55-C-1-66L-3	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579370	552-H-1-1-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579371	54-C-1-66L-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579372	545-K-1-8L-3	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579373	542-K-1-48s-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579374	AB01_C11_NRZ-2017-040	Resistant	"Clinical; invasive, pulmonary"	Germany																																																																																																										
barber	SRR13579375	169-K-1-18L-3	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579376	AB01_C10_NRZ-2017-039	Resistant	"Clinical; invasive, pulmonary"	Germany																																																																																																										
